frameno,prompt,2d-zoom,2d-angle,2d-transformcenterx,2d-transformcentery,shared-translationx,shared-translationy,3d-translationz,3d-rotationx,3d-rotationy,3d-rotationz
0,"A vast and enchanting forest filled with towering ancient trees bathed in the golden light of the setting sun. Ethereal mist curls around the trunks, casting an otherworldly glow on the forest floor. Fantasy, magical, serene, style of Hannah Yata, style of HR Giger, style of Marc Chagall",0.995,0,0.5,0.5,0,0,1.75,0,0,0
50,,,,0.6,0.4,,,,,,
100,,0.99,,0.5,,,,,,,
150,"A graceful and majestic phoenix with vibrant, fiery plumage soaring through the sky above the enchanted forest. Its wingspan casts intricate patterns of light and shadow on the ground as it leaves trails of shimmering sparks behind. Fantasy, mythical, dynamic, style of Alan Lee, style of Johannes Itten, style of Alex Timmermans",,,0.4,0.3,0,,,,,
200,,0.995,,0.3,,-1,,,,,
250,"Amid the ancient forest, a grand battle unfolds between knights in gleaming armor and fearsome dragons with scales that glint in the sunlight. Fire-breath and magical spells light up the battlefield as both sides clash in a spectacular clash of magic and might. Fantasy, epic battle, dynamic, style of Mattias Adolfsson, style of Trina Robbins, style of John Atkinson Grimshaw",1,0,,,-2,,,0,,
300,,,0.5,0.4,,-1,,,1,,
350,"As the battle rages on, the knights form a shield wall to defend against the relentless onslaught of the dragons' fiery breath. Powerful wizards join the fray, casting spells that create protective barriers and unleash torrents of elemental energy. The clash of steel, roars of dragons, and flashes of magic create a chaotic yet awe-inspiring spectacle. Fantasy, epic battle, magic, intense, style of John Atkinson Grimshaw, style of Aristarkh Lentulov",1.1,0.8,0.5,0.5,0,,,,0,
400,,0.99,0.5,,,,,,,-1,
450,"In a sudden shift, the enchanted forest gives way to a futuristic cityscape set against a backdrop of twinkling stars and floating skyscrapers. Hovering vehicles glide through the neon-lit streets, and holographic advertisements flicker in the air. Advanced technology and artificial intelligence seamlessly blend with the urban landscape. Sci-fi, futuristic city, neon lights, advanced tech, style of Guo Pei, style of HR Giger",0.995,0,,,,0,,0,,
500,,,,,,,1,,,0,
